firstName,lastName,email,phone
Alice,Smith,alice@example.com,5551234567
Bob,Johnson,bob@example.com,5552345678
Carol,Williams,carol@example.com,5553456789
David,Brown,david@example.com,5554567890
Eve,Martinez,eve@example.com,5555678901
Frank,Garcia,frank@example.com,5556789012
Grace,Lee,grace@example.com,5557890123
Henry,Walker,henry@example.com,5558901234
Ivy,Hall,ivy@example.com,5559012345
Jack,Young,jack@example.com,5550123456
Kathy,King,kathy@example.com,5551234501
Leo,Scott,leo@example.com,5552345601
Mona,Green,mona@example.com,5553456701
Nina,Adams,nina@example.com,5554567801
Oscar,Clark,oscar@example.com,5555678902
Paul,Evans,paul@example.com,5556789013
Quinn,Baker,quinn@example.com,5557890124
Rita,Turner,rita@example.com,5558901235
Sam,Collins,sam@example.com,5559012346
Tina,Mitchell,tina@example.com,5550123457
Uma,Reed,uma@example.com,5551234502
Vera,Cooper,vera@example.com,5552345602
Will,Howard,will@example.com,5553456702
Xena,Price,xena@example.com,5554567802
Yuri,Bell,yuri@example.com,5555678903
Zane,Diaz,zane@example.com,5556789014
